,Date,Station,Pressure,Height,Temp,DewPoint,Relative_Humidity,Mean_Mixed_Layer,Wind_Direction,Wind_Speed,Potential_Temp,Equivalent_Potential_Temp,Virtual_Potential_Temp
135,2022-04-23,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
136,2022-04-23,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
137,2022-04-23,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
138,2022-04-24,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
139,2022-04-24,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
140,2022-04-24,Vernon,700,,,,,,,,,,
141,2022-04-24,Vernon,850,,,,,,,,,,
142,2022-04-24,Port Hardy,700,,,,,,,,,,
143,2022-04-24,Port Hardy,850,,,,,,,,,,
144,2022-04-25,Quillayute,700,,,,,,,,,,
145,2022-04-25,Quillayute,850,,,,,,,,,,
146,2022-04-25,Vernon,700,,,,,,,,,,
147,2022-04-25,Vernon,850,,,,,,,,,,
148,2022-04-25,Port Hardy,700,,,,,,,,,,
149,2022-04-25,Port Hardy,850,,,,,,,,,,
150,2022-04-26,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
151,2022-04-26,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
152,2022-04-26,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
153,2022-04-26,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
154,2022-04-26,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
155,2022-04-26,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
156,2022-04-27,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
157,2022-04-27,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
158,2022-04-27,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
159,2022-04-27,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
160,2022-04-27,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
161,2022-04-27,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
162,2022-04-28,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
163,2022-04-28,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
164,2022-04-28,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
165,2022-04-28,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
166,2022-04-28,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
167,2022-04-28,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
168,2022-04-29,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
169,2022-04-29,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
170,2022-04-29,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
171,2022-04-29,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
172,2022-04-29,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
173,2022-04-29,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
174,2022-04-30,Quillayute,700,2809.0,-10.1,-11.2,92.0,2.33,230.0,74.08,291.3,298.4,291.7
175,2022-04-30,Quillayute,850,1284.0,-2.3,-2.3,100.0,3.82,260.0,64.82000000000001,283.7,294.7,284.4
176,2022-04-30,Vernon,700,2815.0,-8.1,-10.9,80.0,2.39,205.0,77.784,293.5,300.8,293.9
177,2022-04-30,Vernon,850,1256.0,2.4,-2.6,70.0,3.73,190.0,25.928,288.6,299.6,289.3
178,2022-04-30,Port Hardy,700,2685.0,-12.3,-16.6,70.0,1.5,200.0,59.264,288.8,293.5,289.1
179,2022-04-30,Port Hardy,850,1185.0,-3.3,-6.9,76.0,2.69,235.0,79.63600000000001,282.7,290.5,283.1
180,2022-05-01,Quillayute,700,2939.0,-4.9,-5.8,93.0,3.56,225.0,29.632,297.0,307.9,297.7
181,2022-05-01,Quillayute,850,1392.0,2.0,1.2,94.0,4.93,195.0,40.744,288.2,302.5,289.1
182,2022-05-01,Vernon,700,2977.0,-3.3,-5.9,82.0,3.53,200.0,61.116,298.8,309.7,299.4
183,2022-05-01,Vernon,850,1400.0,7.4,2.4,71.0,5.38,210.0,14.816,293.9,309.8,294.8
184,2022-05-01,Port Hardy,700,2899.0,-9.9,-12.7,80.0,2.07,190.0,18.52,291.5,297.9,291.9
185,2022-05-01,Port Hardy,850,1373.0,-2.3,-4.4,86.0,3.26,155.0,11.112,283.7,293.2,284.3
186,2022-05-02,Quillayute,700,2939.0,-4.9,-5.8,93.0,3.56,225.0,29.632,297.0,307.9,297.7
187,2022-05-02,Quillayute,850,1392.0,2.0,1.2,94.0,4.93,195.0,40.744,288.2,302.5,289.1
188,2022-05-02,Vernon,700,2977.0,-3.3,-5.9,82.0,3.53,200.0,61.116,298.8,309.7,299.4
189,2022-05-02,Vernon,850,1400.0,7.4,2.4,71.0,5.38,210.0,14.816,293.9,309.8,294.8
190,2022-05-02,Port Hardy,700,2899.0,-9.9,-12.7,80.0,2.07,190.0,18.52,291.5,297.9,291.9
191,2022-05-02,Port Hardy,850,1373.0,-2.3,-4.4,86.0,3.26,155.0,11.112,283.7,293.2,284.3
192,2022-05-03,Quillayute,700,2939.0,-4.9,-5.8,93.0,3.56,225.0,29.632,297.0,307.9,297.7
193,2022-05-03,Quillayute,850,1392.0,2.0,1.2,94.0,4.93,195.0,40.744,288.2,302.5,289.1
194,2022-05-03,Vernon,700,2977.0,-3.3,-5.9,82.0,3.53,200.0,61.116,298.8,309.7,299.4
195,2022-05-03,Vernon,850,1400.0,7.4,2.4,71.0,5.38,210.0,14.816,293.9,309.8,294.8
196,2022-05-03,Port Hardy,700,2899.0,-9.9,-12.7,80.0,2.07,190.0,18.52,291.5,297.9,291.9
197,2022-05-03,Port Hardy,850,1373.0,-2.3,-4.4,86.0,3.26,155.0,11.112,283.7,293.2,284.3
198,2022-05-04,Quillayute,700,2939.0,-4.9,-5.8,93.0,3.56,225.0,29.632,297.0,307.9,297.7
199,2022-05-04,Quillayute,850,1392.0,2.0,1.2,94.0,4.93,195.0,40.744,288.2,302.5,289.1
200,2022-05-04,Vernon,700,2977.0,-3.3,-5.9,82.0,3.53,200.0,61.116,298.8,309.7,299.4
201,2022-05-04,Vernon,850,1400.0,7.4,2.4,71.0,5.38,210.0,14.816,293.9,309.8,294.8
202,2022-05-04,Port Hardy,700,2899.0,-9.9,-12.7,80.0,2.07,190.0,18.52,291.5,297.9,291.9
203,2022-05-04,Port Hardy,850,1373.0,-2.3,-4.4,86.0,3.26,155.0,11.112,283.7,293.2,284.3
204,2022-05-05,Quillayute,700,2939.0,-4.9,-5.8,93.0,3.56,225.0,29.632,297.0,307.9,297.7
205,2022-05-05,Quillayute,850,1392.0,2.0,1.2,94.0,4.93,195.0,40.744,288.2,302.5,289.1
206,2022-05-05,Vernon,700,2977.0,-3.3,-5.9,82.0,3.53,200.0,61.116,298.8,309.7,299.4
207,2022-05-05,Vernon,850,1400.0,7.4,2.4,71.0,5.38,210.0,14.816,293.9,309.8,294.8
208,2022-05-05,Port Hardy,700,,,,,,,,,,
